Title / Label	MayFly Sample	ID	Photo file name	GUID	Description	Typical uses	Sample	Source	MaterialUniverse Path	See also 1	See also 2	See also 3	www.materialswall.grantadesign.com/card/index/
Elastomeric rubber	No	39	mat39.jpg	8ac3f988-efe0-47d2-a1fc-7663b01a7c98	"Thermoset rubbers include natural rubber, nitrile rubber."		Silicone elastomer?		Polymers > Elastomer > Thermoset elastomers (rubber)				www.materialswall.grantadesign.com/card/index/8ac3f988-efe0-47d2-a1fc-7663b01a7c98
Laser-cut fiberboard	No	61	mat61.jpg	8ec3b9af-3c97-46e4-b8ea-cf216226d40d				Miriam Bereson Design	Hybrids > Natural materials > Wood				www.materialswall.grantadesign.com/card/index/8ec3b9af-3c97-46e4-b8ea-cf216226d40d
Pure tin	Yes	1	mat1.jpg	120550d4-8bd7-43e2-b0b7-4bc5171b534d	"Tin is more commonly known when alloyed with copper as bronze, but in its pure form is useful for its chemical stability."	Storage tanks for chemicals and pharmeceuticals. Electrodes and fuse wire. As a coating for steel sheet ('tin plate')	This sample is 100% pure tin. You can gently deform it to hear 'tin cry'. This crackling sound results from crystals deforming by 'twinning'.	Nousaku Zizai	Metals & alloys > Non-ferrous > Tin	http://www.doitpoms.ac.uk/ldplib/acoustic/video.php			www.materialswall.grantadesign.com/card/index/120550d4-8bd7-43e2-b0b7-4bc5171b534d
3D glass fiber weave	Yes	2	mat2.jpg	71af4368-58e4-4f36-bab1-29e85f49f0d1	"3D glass fiber weaves use the technology behind velvet weaving to create a stiff, lightweight panel with high bending strength. The woven fabric is impregnated with a thermoset resin, which is drawn up into the fibers by capillary action causing the panel to rise to the pre-set height."	The Rail cars of the São Paulo Monorail use 3D glass fibers to reduce weight of their interiors.			Fibers & particulates > Ceramic > Fiber	http://www.compositesmanufacturingblog.com/2013/02/3d-glass-fabrics-are-on-the-fast-track/			www.materialswall.grantadesign.com/card/index/71af4368-58e4-4f36-bab1-29e85f49f0d1
Alumina	Yes	5	mat5.jpg	33007b85-fe58-481f-9331-88e8584ef8ab	"Alumina (Al2O3) is the workhorse of the ceramics industry. Low cost, easy to produce, it can be used in high temperature environments, maintaining excellent wear resistance and chemical resistance."	"Spark plugs, electrical insulators, high temperature refractory applications."	These parts have been sintered to form their final shape	Anderman Ceramics	Ceramics & glasses > Technical ceramics > Alumina	http://www.britannica.com/EBchecked/topic/17897/alumina			www.materialswall.grantadesign.com/card/index/33007b85-fe58-481f-9331-88e8584ef8ab
CFRP	Yes	22	mat22.jpg	766f091b-62af-455c-820d-819d3744f5e6	"Carbon fiber reinforced polymers offer the highest strength and stiffness of the plastic composites, but are considerably more expensive. Expoxy is the most common material for the matrix"	"Light weight structural members for aerospace, automotive and high performance sports equipment."	"This woven fiber composite uses continuous fibers, which offer even greater performance."	Xperion Aerospace	Hybrids > Copmosites > Polymer				www.materialswall.grantadesign.com/card/index/766f091b-62af-455c-820d-819d3744f5e6
Copper mesh	Yes	30	mat30.jpg	9ac08240-950b-4220-8ee4-8e2e4f9c6f47	"Copper is a reddish, extremely ductile metal with high heat and electrical conductivity. It is the ductility of copper that makes it suitable for expanded metal mesh processing, which uses a pressured slitting and stretching process to transform solid metal sheets and coils into expanded mesh."	Architectural solar screens: The Public library of Des Moines (Iowa) is clad in in copper mesh for sun shading. Also commonly used for sculptures.			Metals & alloys > Non-ferrous > Copper	http://greensource.construction.com/projects/0704_centrallibrary.asp			www.materialswall.grantadesign.com/card/index/9ac08240-950b-4220-8ee4-8e2e4f9c6f47
Cork	Yes	31	mat31.jpg	f9b32e7f-d61e-4f4f-80d9-01ee82bd3189	"The bark of a type of oak tree, cork is a natural closed-cell foam, which is waterproof and stable in many chemical environments, and fire resistant."	"Bottle stoppers, floats, flooring, insulation, road surfaces, vibration damping."	"This cork is made in three sections, reducing the chances of a defect causing complete failue."		Hybrids > Natural materials > Cork				www.materialswall.grantadesign.com/card/index/f9b32e7f-d61e-4f4f-80d9-01ee82bd3189
Glass / epoxy crossply composite	Yes	49	mat49.jpg	a35f39b0-a4e7-4ce3-9d20-448124be9e1c	Continuous glass fibre embedded in a thermoset plastic matrix	"Sports equipment such as skis and raquets, boat hulls"			Hybrids > Composites > Polymer				www.materialswall.grantadesign.com/card/index/a35f39b0-a4e7-4ce3-9d20-448124be9e1c
Iridescent polymer film	Yes	58	mat58.jpg	7ab748d0-97e9-4fcf-91d7-a5624a765cd1	Produced through colloidal crystalization		color is black sea blue	Dichrolam					www.materialswall.grantadesign.com/card/index/7ab748d0-97e9-4fcf-91d7-a5624a765cd1
